VBE ,beta VCE 0.6 N 1 ,beta VCE 0.6 N 2 ,beta VCE 0.6 N 3 ,beta VCE 0.6 N 4 ,beta VCE 0.6 N 5 ,beta VCE 0.6 N 6 ,beta VCE 0.6 N 7 ,beta VCE 0.6 N 8 ,beta VCE 0.6 N 9 ,beta VCE 0.6 N 10 ,beta VCE 0.65 N 1 ,beta VCE 0.65 N 2 ,beta VCE 0.65 N 3 ,beta VCE 0.65 N 4 ,beta VCE 0.65 N 5 ,beta VCE 0.65 N 6 ,beta VCE 0.65 N 7 ,beta VCE 0.65 N 8 ,beta VCE 0.65 N 9 ,beta VCE 0.65 N 10 ,beta VCE 0.7 N 1 ,beta VCE 0.7 N 2 ,beta VCE 0.7 N 3 ,beta VCE 0.7 N 4 ,beta VCE 0.7 N 5 ,beta VCE 0.7 N 6 ,beta VCE 0.7 N 7 ,beta VCE 0.7 N 8 ,beta VCE 0.7 N 9 ,beta VCE 0.7 N 10 ,beta VCE 0.75 N 1 ,beta VCE 0.75 N 2 ,beta VCE 0.75 N 3 ,beta VCE 0.75 N 4 ,beta VCE 0.75 N 5 ,beta VCE 0.75 N 6 ,beta VCE 0.75 N 7 ,beta VCE 0.75 N 8 ,beta VCE 0.75 N 9 ,beta VCE 0.75 N 10 ,beta VCE 0.8 N 1 ,beta VCE 0.8 N 2 ,beta VCE 0.8 N 3 ,beta VCE 0.8 N 4 ,beta VCE 0.8 N 5 ,beta VCE 0.8 N 6 ,beta VCE 0.8 N 7 ,beta VCE 0.8 N 8 ,beta VCE 0.8 N 9 ,beta VCE 0.8 N 10 
220.000E-3,-2.67811,-3.02346,-3.42054,-3.88191,-4.42458,-5.07210,-5.85810,-6.83233,-8.07160,-9.70111,-2.25903,-2.49218,-2.75058,-3.03857,-3.36156,-3.72633,-4.14155,-4.61845,-5.17190,-5.82193,-2.00745,-2.18187,-2.37109,-2.57708,-2.80217,-3.04914,-3.32135,-3.62287,-3.95871,-4.33509,-1.83966,-1.97841,-2.12682,-2.28597,-2.45704,-2.64143,-2.84077,-3.05694,-3.29217,-3.54910,-1.71979,-1.83471,-1.95643,-2.08558,-2.22285,-2.36904,-2.52505,-2.69189,-2.87074,-3.06294
225.000E-3,-2.88304,-3.32913,-3.85524,-4.48503,-5.25249,-6.20829,-7.43148,-9.05248,-11.3031,-14.6385,-2.38593,-2.67781,-3.00648,-3.37936,-3.80604,-4.29903,-4.87513,-5.55726,-6.37767,-7.38316,-2.09648,-2.31116,-2.54670,-2.80630,-3.09385,-3.41410,-3.77297,-4.17791,-4.63838,-5.16667,-1.90704,-2.07602,-2.25836,-2.45571,-2.67000,-2.90351,-3.15894,-3.43955,-3.74923,-4.09276,-1.77342,-1.91240,-2.06064,-2.21909,-2.38886,-2.57120,-2.76756,-2.97961,-3.20933,-3.45901
230.000E-3,-3.13143,-3.71588,-4.42750,-5.31287,-6.44447,-7.94160,-10.0155,-13.0789,-18.0621,-27.5930,-2.53445,-2.90292,-3.32579,-3.81607,-4.39128,-5.07558,-5.90326,-6.92464,-8.21675,-9.90366,-2.19872,-2.46453,-2.76006,-3.09055,-3.46262,-3.88462,-4.36735,-4.92493,-5.57621,-6.34701,-1.98352,-2.19032,-2.41570,-2.66229,-2.93323,-3.23232,-3.56417,-3.93449,-4.35038,-4.82080,-1.83383,-2.00260,-2.18405,-2.37967,-2.59119,-2.82063,-3.07036,-3.34321,-3.64255,-3.97241
235.000E-3,-3.43759,-4.21653,-5.20451,-6.49873,-8.26765,-10.8312,-14.8796,-22.2295,-39.6994,-134.374,-2.71023,-3.17980,-3.73122,-4.38795,-5.18334,-6.16648,-7.41274,-9.04409,-11.2716,-14.4951,-2.31720,-2.64848,-3.02253,-3.44820,-3.93696,-4.50397,-5.16965,-5.96221,-6.92175,-8.10725,-2.07105,-2.32542,-2.60585,-2.91659,-3.26280,-3.65095,-4.08914,-4.58772,-5.16008,-5.82393,-1.90242,-2.10823,-2.33154,-2.57466,-2.84037,-3.13196,-3.45340,-3.80953,-4.20628,-4.65102
240.000E-3,-3.82238,-4.88278,-6.30206,-8.29946,-11.3186,-16.4129,-26.8421,-60.1975,646.090,56.6668,-2.92085,-3.52579,-4.25647,-5.15663,-6.29299,-7.77255,-9.77843,-12.6522,-17.1128,-24.9755,-2.45583,-2.87167,-3.34988,-3.90563,-4.55944,-5.33978,-6.28731,-7.46221,-8.95748,-10.9248,-2.17209,-2.48667,-2.83816,-3.23346,-3.68129,-4.19290,-4.78292,-5.47090,-6.28343,-7.25771,-1.98091,-2.23304,-2.50946,-2.81386,-3.15071,-3.52550,-3.94501,-4.41776,-4.95457,-5.56942
245.000E-3,-4.31725,-5.80052,-7.93680,-11.2790,-17.2499,-30.9606,-95.1806,121.588,40.8223,25.7973,-3.17666,-3.96596,-4.95328,-6.22386,-7.91997,-10.2984,-13.8746,-19.8579,-31.9109,-68.7773,-2.61975,-3.14590,-3.76436,-4.50176,-5.39605,-6.50326,-7.90972,-9.75569,-12.2853,-15.9648,-2.28975,-2.68110,-3.12523,-3.63360,-4.22121,-4.90819,-5.72204,-6.70150,-7.90285,-9.41110,-2.07147,-2.38181,-2.72615,-3.11040,-3.54192,-4.03000,-4.58655,-5.22706,-5.97209,-6.84947
250.000E-3,-4.97176,-7.12275,-10.5643,-16.9553,-32.9314,-144.698,78.9501,34.1838,22.9950,17.9096,-3.49211,-4.53766,-5.90489,-7.76928,-10.4622,-14.6938,-22.3103,-40.0796,-128.878,137.760,-2.81569,-3.48745,-4.29818,-5.29600,-6.55410,-8.18960,-10.4023,-13.5632,-18.4480,-26.9958,-2.42808,-2.91806,-3.48439,-4.14643,-4.93069,-5.87445,-7.03188,-8.48480,-10.3629,-12.8849,-2.17686,-2.56079,-2.99272,-3.48223,-4.04167,-4.68717,-5.44026,-6.33025,-7.39824,-8.70353
255.000E-3,-5.86819,-9.14937,-15.3274,-31.2700,-167.363,67.0557,31.1922,21.5579,17.0831,14.4985,-3.88778,-5.29864,-7.25312,-10.1404,-14.8376,-23.8232,-47.9032,-324.674,82.4373,39.5554,-3.05273,-3.91927,-4.99935,-6.38300,-8.21914,-10.7731,-14.5681,-20.7991,-32.9201,-66.7672,-2.59230,-3.21010,-3.93980,-4.81486,-5.88349,-7.21791,-8.93137,-11.2121,-14.3977,-19.1600,-2.30058,-2.77815,-3.32410,-3.95427,-4.68976,-5.55939,-6.60353,-7.88058,-9.47825,-11.5346
260.000E-3,-7.15327,-12.5555,-26.1205,-123.522,67.0794,30.2861,20.9874,16.7474,14.3207,12.7491,-4.39391,-6.34252,-9.25917,-14.1036,-23.7307,-52.1266,-2.27650E3,65.9801,35.2930,25.2419,-3.34317,-4.47448,-5.94208,-7.92210,-10.7397,-15.0688,-22.5716,-38.7575,-99.4034,286.067,-2.78924,-3.57436,-4.52599,-5.70339,-7.19770,-9.15678,-11.8374,-15.7281,-21.8872,-33.1147,-2.44713,-3.04467,-3.74071,-4.56179,-5.54494,-6.74340,-8.23658,-10.1484,-12.6838,-16.2072
265.000E-3,-9.11500,-19.2360,-70.2501,80.7705,31.0997,21.0862,16.7865,14.3957,12.8735,11.8193,-5.05638,-7.83043,-12.4592,-21.7365,-49.7292,6.44945E3,60.8132,33.5316,24.3859,19.8033,-3.70402,-5.20225,-7.24649,-10.2018,-14.8516,-23.2395,-42.9027,-143.177,148.130,54.1490,-3.02794,-4.03463,-5.29350,-6.91284,-9.07339,-12.1009,-16.6481,-24.2428,-39.4923,-85.7280,-2.62232,-3.37480,-4.27088,-5.35598,-6.69699,-8.39652,-10.6205,-13.6561,-18.0467,-24.9601
270.000E-3,-12.4034,-37.2930,152.047,34.1076,21.8314,17.1510,14.6824,13.1573,12.1217,11.3724,-5.94780,-10.0632,-18.1472,-41.2851,-689.771,62.3609,33.4627,24.3172,19.8306,17.1657,-4.15931,-6.17823,-9.11896,-13.7996,-22.4129,-43.5059,-175.509,118.554,49.4948,33.1599,-3.32053,-4.62459,-6.31870,-8.60862,-11.8757,-16.9152,-25.7061,-44.9205,-120.094,284.659,-2.83370,-3.78810,-4.95475,-6.41331,-8.28902,-10.7907,-14.2944,-19.5530,-28.3254,-45.9007
275.000E-3,-18.8521,-220.045,41.7108,23.3911,17.8414,15.1603,13.5805,12.5391,11.8008,11.2502,-7.18945,-13.6704,-30.4254,-175.257,72.2172,34.9700,24.9269,20.2567,17.5578,15.7995,-4.74375,-7.52402,-11.9434,-20.0572,-39.8248,-160.330,115.863,48.4342,32.7237,25.7231,-3.68344,-5.39304,-7.72170,-11.0800,-16.3446,-25.7821,-47.6105,-152.868,183.465,64.2846,-3.09119,-4.31145,-5.85055,-7.85226,-10.5620,-14.4363,-20.4310,-30.9430,-54.1654,-148.393
280.000E-3,-36.3871,68.7871,26.3566,18.9192,15.8247,14.1288,13.0582,12.3208,11.7820,11.3711,-8.99862,-20.2189,-72.7225,104.837,38.5677,26.2542,21.0658,18.2058,16.3942,15.1437,-5.50894,-9.44658,-16.5190,-32.9451,-113.508,136.255,50.2649,33.4049,26.2129,22.2261,-4.13934,-6.41280,-9.70100,-14.8785,-24.2299,-46.2110,-159.614,163.881,61.4802,40.3780,-3.40794,-4.98247,-7.04525,-9.86509,-13.9524,-20.4095,-32.1387,-60.0515,-212.153,188.362
285.000E-3,-227.072,33.0109,20.5725,16.6866,14.7890,13.6646,12.9208,12.3923,11.9974,11.6912,-11.8042,-34.9603,456.977,46.2026,28.5307,22.2972,19.1120,17.1783,15.8797,14.9474,-6.53445,-12.3260,-24.8174,-71.5833,226.655,55.6345,35.2196,27.2867,23.0685,20.4507,-4.72005,-7.79645,-12.6072,-21.1944,-40.8783,-132.441,180.873,62.7138,40.9206,31.7528,-3.80161,-5.85492,-8.67347,-12.7830,-19.3340,-31.4213,-61.1995,-253.474,161.283,68.2234
290.000E-3,63.2699,23.3989,17.7832,15.5425,14.3372,13.5844,13.0695,12.6952,12.4107,12.1873,-16.5810,-92.9254,66.5256,32.4150,24.0720,20.3037,18.1570,16.7705,15.8011,15.0853,-7.94841,-16.9388,-43.3395,-1.68074E3,67.6307,38.5016,29.0063,24.2979,21.4853,19.6154,-5.47123,-9.72608,-17.1175,-33.1381,-94.0912,269.862,68.1880,42.8872,32.9813,27.6969,-4.29616,-7.00761,-10.9534,-17.2247,-28.7365,-56.7713,-227.324,164.467,68.5245,46.1976
295.000E-3,30.4144,19.2210,16.3512,15.0371,14.2834,13.7947,13.4521,13.1986,13.0034,12.8485,-26.1070,247.977,40.0369,26.6860,21.8464,19.3464,17.8196,16.7904,16.0496,15.4909,-9.96951,-25.1438,-113.431,100.167,44.2244,31.5660,25.9696,22.8145,20.7892,19.3791,-6.46015,-12.5140,-24.7218,-62.1680,2.19844E3,80.5257,46.5681,35.0057,29.1777,25.6659,-4.92466,-8.55963,-14.2601,-24.4852,-48.1668,-162.980,200.322,72.7660,48.0665,37.5610
300.000E-3,21.4156,17.1137,15.6797,14.9628,14.5326,14.2458,14.0409,13.8873,13.7678,13.6722,-52.6535,63.0043,30.9538,23.8839,20.7792,19.0344,17.9165,17.1391,16.5672,16.1289,-13.0007,-42.7417,377.936,55.4059,35.4284,28.2077,24.4820,22.2082,20.6760,19.5735,-7.78911,-16.7392,-39.4385,-212.508,110.261,52.8742,38.0263,31.2084,27.2929,24.7518,-5.73355,-10.6982,-19.2921,-37.7874,-106.550,345.383,82.2989,51.6092,39.7237,33.4129
305.000E-3,17.4581,16.0497,15.5040,15.2142,15.0345,14.9122,14.8235,14.7563,14.7037,14.6612,-392.550,40.0658,26.7708,22.5189,20.4252,19.1790,18.3524,17.7640,17.3238,16.9821,-17.8685,-101.524,86.5033,41.7993,31.2749,26.5718,23.9065,22.1904,20.9931,20.1102,-9.62013,-23.6014,-77.0382,236.420,64.3828,42.5117,33.9309,29.3492,26.4994,24.5555,-6.78937,-13.7323,-27.5046,-67.9354,-2.54058E3,102.130,57.4575,42.9004,35.6829,31.3717
310.000E-3,15.4318,15.6150,15.6931,15.7365,15.7640,15.7831,15.7971,15.8078,15.8162,15.8230,91.0033,31.6708,24.7059,22.0061,20.5720,19.6826,19.0771,18.6382,18.3056,18.0447,-26.5644,968.352,54.8676,35.7854,29.2462,25.9422,23.9485,22.6147,21.6597,20.9422,-12.2233,-36.0344,-323.445,90.7114,49.5856,37.6338,31.9406,28.6101,26.4242,24.8793,-8.19002,-18.2068,-42.4924,-187.006,153.420,67.2487,47.4650,38.6845,33.7249,30.5378
315.000E-3,14.3803,15.6156,16.1792,16.5018,16.7107,16.8571,16.9654,17.0487,17.1148,17.1685,46.0817,27.7415,23.7964,22.0751,21.1107,20.4939,20.0656,19.7507,19.5095,19.3188,-45.3720,105.349,43.5474,32.8553,28.4188,25.9905,24.4585,23.4039,22.6336,22.0463,-16.0805,-63.5570,217.882,62.5363,42.9416,35.2634,31.1658,28.6178,26.8802,25.6193,-10.0841,-25.1707,-76.1340,514.073,85.7770,54.2406,42.6705,36.6643,32.9866,30.5031
320.000E-3,13.9170,15.9534,16.9276,17.4988,17.8742,18.1398,18.3375,18.4905,18.6124,18.7118,33.5798,25.8260,23.6277,22.5891,21.9840,21.5879,21.3084,21.1006,20.9402,20.8125,-109.715,63.2239,38.3231,31.5434,28.3812,26.5509,25.3575,24.5177,23.8947,23.4141,-22.1357,-164.003,96.4943,51.4530,39.7119,34.3085,31.2019,29.1843,27.7685,26.7202,-12.7060,-36.9210,-204.446,134.099,65.2648,48.1455,40.3757,35.9391,33.0697,31.0616
325.000E-3,13.8605,16.5777,17.9236,18.7271,19.2611,19.6418,19.9268,20.1482,20.3252,20.4699,28.1716,25.0419,23.9987,23.4771,23.1641,22.9555,22.8065,22.6947,22.6077,22.5382,786.720,49.2255,35.8176,31.2393,28.9291,27.5362,26.6048,25.9381,25.4373,25.0473,-32.5069,702.236,68.8290,46.2092,38.3059,34.2824,31.8448,30.2099,29.0371,28.1549,-16.4450,-59.5993,674.091,87.1273,56.2370,45.2049,39.5397,36.0913,33.7715,32.1042
330.000E-3,14.1192,17.4648,19.1649,20.1940,20.8838,21.3783,21.7503,22.0402,22.2725,22.4628,25.5297,25.0016,24.8058,24.7038,24.6412,24.5988,24.5683,24.5452,24.5271,24.5126,107.135,42.9324,34.8274,31.6511,29.9559,28.9017,28.1828,27.6612,27.2654,26.9548,-53.0929,140.516,57.5722,43.7436,38.0491,34.9429,32.9872,31.6425,30.6613,29.9137,-21.9912,-116.894,159.383,70.0590,51.8710,44.0425,39.6846,36.9081,34.9844,33.5729
335.000E-3,14.6460,18.6070,20.6583,21.9126,22.7590,23.3685,23.8284,24.1878,24.4763,24.7131,24.3091,25.5153,25.9966,26.2555,26.4172,26.5278,26.6082,26.6693,26.7173,26.7560,65.1796,39.9384,34.8264,32.6290,31.4065,30.6279,30.0886,29.6930,29.3903,29.1513,-108.653,88.7608,52.2379,42.8923,38.6151,36.1628,34.5728,33.4583,32.6337,31.9989,-30.6850,-467.282,102.568,62.1698,49.9472,44.0451,40.5680,38.2762,36.6517,35.4402
340.000E-3,15.4194,20.0080,22.4170,23.9014,24.9077,25.6349,26.1850,26.6156,26.9619,27.2464,23.9645,26.4861,27.5476,28.1325,28.5029,28.7585,28.9455,29.0883,29.2008,29.2919,51.0515,38.7396,35.5565,34.0952,33.2561,32.7116,32.3297,32.0470,31.8293,31.6565,-613.711,70.7026,49.8099,43.1262,39.8346,37.8755,36.5759,35.6508,34.9586,34.4214,-45.4948,365.311,82.2774,58.4140,49.5394,44.9068,42.0615,40.1363,38.7471,37.6974
345.000E-3,16.4334,21.6795,24.4604,26.1830,27.3550,28.2039,28.8472,29.3514,29.7574,30.0912,24.2409,27.8665,29.4542,30.3453,30.9158,31.3122,31.6038,31.8272,32.0039,32.1471,44.7109,38.6943,36.8844,36.0122,35.4989,35.1608,34.9212,34.7426,34.6043,34.4941,240.774,62.5183,49.1092,44.1796,41.6186,40.0496,38.9898,38.2260,37.6493,37.1985,-74.5118,157.853,72.9795,56.9711,50.2029,46.4665,44.0974,42.4613,41.2635,40.3487
350.000E-3,17.6926,23.6398,26.8123,28.7845,30.1293,31.1049,31.8451,32.4259,32.8938,33.2787,25.0108,29.6374,31.7241,32.9121,33.6790,34.2150,34.6108,34.9150,35.1561,35.3519,41.7444,39.4929,38.7424,38.3672,38.1420,37.9920,37.8847,37.8043,37.7418,37.6918,118.828,58.6942,49.5921,45.9131,43.9231,42.6760,41.8213,41.1990,40.7256,40.3534,-150.182,112.520,68.5881,57.0369,51.7070,48.6386,46.6443,45.2442,44.2071,43.4080
355.000E-3,19.2098,25.9129,29.5013,31.7367,33.2629,34.3712,35.2125,35.8730,36.4054,36.8435,26.2114,31.7983,34.3746,35.8572,36.8206,37.4969,37.9978,38.3837,38.6902,38.9394,40.6340,40.9773,41.1005,41.1638,41.2024,41.2284,41.2470,41.2611,41.2721,41.2809,87.5807,57.2890,50.9836,48.2549,46.7321,45.7604,45.0865,44.5918,44.2131,43.9139,-695.621,94.3299,66.9286,58.2125,53.9287,51.3817,49.6933,48.4920,47.5936,46.8963
360.000E-3,21.0047,28.5280,32.5606,35.0745,36.7917,38.0391,38.9863,39.7300,40.3295,40.8230,27.8155,34.3618,37.4302,39.2106,40.3732,41.1921,41.8001,42.2693,42.6425,42.9462,40.7311,43.0676,43.9522,44.4174,44.7043,44.8989,45.0396,45.1460,45.2294,45.2965,74.6253,57.4586,53.1395,51.1726,50.0476,49.3193,48.8093,48.4323,48.1421,47.9120,401.572,85.8036,67.0456,60.2877,56.8053,54.6815,53.2511,52.2221,51.4463,50.8406
365.000E-3,23.1024,31.5190,36.0274,38.8368,40.7553,42.1488,43.2067,44.0373,44.7067,45.2578,29.8189,37.3501,40.9221,43.0071,44.3737,45.3386,46.0562,46.6109,47.0523,47.4121,41.7239,45.7286,47.3075,48.1522,48.6783,49.0374,49.2982,49.4961,49.6515,49.7767,68.6122,58.7902,55.9867,54.6591,53.8848,53.3776,53.0196,52.7534,52.5477,52.3839,186.788,81.9842,68.4666,63.1509,60.3099,58.5418,57.3353,56.4595,55.7948,55.2732
370.000E-3,25.5339,34.9249,39.9432,43.0661,45.1969,46.7435,47.9172,48.8384,49.5807,50.1915,32.2328,40.7934,44.8868,47.2862,48.8629,49.9780,50.8084,51.4508,51.9625,52.3797,43.4555,48.9528,51.1877,52.3998,53.1604,53.6823,54.0625,54.3519,54.5795,54.7632,66.1203,61.0699,59.4936,58.7242,58.2683,57.9667,57.7525,57.5924,57.4683,57.3693,135.922,80.9463,70.9428,66.7471,64.4393,62.9792,61.9722,61.2357,60.6736,60.2306
375.000E-3,28.3355,38.7892,44.3537,47.8089,50.1631,51.8702,53.1647,54.1802,54.9980,55.6708,35.0797,44.7285,49.3660,52.0915,53.8853,55.1555,56.1020,56.8347,57.4186,57.8949,45.8495,52.7514,55.6234,57.1975,58.1913,58.8758,59.3759,59.7573,60.0578,60.3006,65.7826,64.1873,63.6555,63.3896,63.2301,63.1237,63.0477,62.9908,62.9465,62.9110,115.232,81.8026,74.3419,71.0555,69.2060,68.0200,67.1948,66.5874,66.1218,65.7534
380.000E-3,31.5490,43.1602,49.3086,53.1153,55.7040,57.5787,58.9989,60.1121,61.0082,61.7449,38.3916,49.1985,54.4061,57.4706,59.4893,60.9194,61.9857,62.8112,63.4693,64.0062,48.8758,57.1488,60.6524,62.5880,63.8158,64.6640,65.2851,65.7595,66.1337,66.4365,66.9631,68.0904,68.4853,68.6865,68.8084,68.8903,68.9490,68.9932,69.0276,69.0552,105.629,84.1024,78.5973,76.0782,74.6339,73.6976,73.0413,72.5557,72.1820,71.8854
385.000E-3,35.2215,48.0909,54.8618,59.0388,61.8729,63.9219,65.4724,66.6867,67.6633,68.4658,42.2082,54.2516,60.0575,63.4748,65.7262,67.3213,68.5107,69.4316,70.1657,70.7647,52.5335,62.1799,66.3182,68.6183,70.0823,71.0961,71.8396,72.4083,72.8572,73.2207,69.3412,72.7637,74.0088,74.6529,75.0465,75.3120,75.5032,75.6474,75.7601,75.8506,101.529,87.6056,83.6823,81.8324,80.7557,80.0513,79.5545,79.1853,78.9002,78.6734
390.000E-3,39.4057,53.6384,61.0705,65.6362,68.7258,70.9554,72.6402,73.9583,75.0175,75.8873,46.5767,59.9413,66.3747,70.1586,72.6503,74.4151,75.7307,76.7492,77.5610,78.2233,56.8413,67.8872,72.6695,75.3390,77.0425,78.2240,79.0916,79.7557,80.2804,80.7054,72.7519,78.2150,80.2612,81.3324,81.9915,82.4378,82.7602,83.0039,83.1946,83.3479,100.734,92.1844,89.5964,88.3465,87.6101,87.1246,86.7806,86.5239,86.3252,86.1667
395.000E-3,44.1599,59.8642,67.9952,72.9668,76.3210,78.7365,80.5591,81.9832,83.1266,84.0649,51.5505,66.3251,73.4153,77.5790,80.3180,82.2568,83.7013,84.8192,85.7100,86.4365,61.8325,74.3199,79.7591,82.8040,84.7504,86.1018,87.0950,87.8556,88.4568,88.9440,77.1152,84.4683,87.2846,88.7730,89.6934,90.3189,90.7716,91.1145,91.3832,91.5994,102.219,97.7761,96.3560,95.6568,95.2407,94.9647,94.7682,94.6213,94.5072,94.4160
400.000E-3,49.5479,66.8335,75.6991,81.0920,84.7184,87.3242,89.2870,90.8187,92.0472,93.0545,57.1892,73.4646,81.2398,85.7950,88.7874,90.9035,92.4790,93.6976,94.6683,95.4597,67.5512,81.5320,87.6428,91.0692,93.2616,94.7848,95.9046,96.7627,97.4410,97.9908,82.4018,91.5588,95.1263,97.0253,98.2046,99.0080,99.5906,100.032,100.379,100.658,105.464,104.358,103.989,103.805,103.694,103.620,103.568,103.528,103.498,103.473
405.000E-3,55.6387,74.6144,84.2473,90.0742,93.9787,96.7774,98.8818,100.522,101.836,102.912,63.5577,81.4243,89.9101,94.8669,98.1172,100.413,102.120,103.440,104.491,105.348,74.0501,89.5815,96.3783,100.192,102.632,104.329,105.576,106.531,107.287,107.900,88.6136,99.5296,103.837,106.142,107.578,108.559,109.270,109.811,110.235,110.577,110.188,111.931,112.532,112.836,113.019,113.142,113.230,113.296,113.348,113.389
410.000E-3,62.5063,83.2774,93.7054,99.9758,104.162,107.155,109.401,111.149,112.548,113.692,70.7260,90.2706,99.4890,104.855,108.365,110.841,112.681,114.102,115.233,116.154,81.3887,98.5287,106.024,110.228,112.919,114.788,116.162,117.216,118.048,118.723,95.7738,108.429,113.468,116.176,117.867,119.023,119.863,120.502,121.003,121.407,116.243,120.515,122.024,122.796,123.264,123.579,123.805,123.975,124.108,124.214
415.000E-3,70.2290,92.8937,104.139,110.858,115.326,118.512,120.898,122.753,124.235,125.447,78.7677,100.071,110.038,115.817,119.588,122.244,124.215,125.736,126.945,127.929,89.6315,108.435,116.639,121.235,124.174,126.216,127.716,128.866,129.774,130.511,103.919,118.308,124.073,127.180,129.122,130.452,131.419,132.154,132.732,133.198,123.554,130.137,132.510,133.732,134.477,134.980,135.341,135.613,135.826,135.996
420.000E-3,78.8883,103.534,115.610,122.779,127.526,130.902,133.425,135.383,136.946,138.223,87.7597,110.891,121.618,127.809,131.839,134.671,136.770,138.388,139.674,140.720,98.8464,119.361,128.278,133.264,136.450,138.661,140.285,141.529,142.512,143.308,113.097,129.218,135.702,139.202,141.392,142.892,143.984,144.814,145.466,145.992,132.090,140.832,144.030,145.688,146.703,147.387,147.881,148.253,148.544,148.778
425.000E-3,88.5678,115.267,128.179,135.792,140.812,144.371,147.026,149.083,150.723,152.061,97.7798,122.796,134.283,140.881,145.163,148.167,150.390,152.102,153.461,154.566,109.103,131.366,140.993,146.363,149.790,152.166,153.910,155.245,156.300,157.154,123.356,141.209,148.401,152.286,154.718,156.384,157.597,158.519,159.244,159.829,141.847,152.634,156.625,158.704,159.979,160.842,161.464,161.933,162.301,162.596
430.000E-3,99.3511,128.157,141.898,149.942,155.224,158.958,161.737,163.887,165.599,166.995,108.905,135.843,148.083,155.077,159.602,162.769,165.110,166.911,168.339,169.499,120.469,144.501,154.828,160.573,164.232,166.766,168.625,170.047,171.170,172.079,134.752,154.327,162.212,166.470,169.136,170.962,172.291,173.302,174.097,174.738,152.838,165.576,170.329,172.813,174.340,175.373,176.119,176.683,177.125,177.479
435.000E-3,111.320,142.259,156.809,165.266,170.794,174.691,177.585,179.820,181.598,183.045,121.211,150.084,163.058,170.430,175.184,178.504,180.955,182.837,184.329,185.540,133.012,158.813,169.821,175.924,179.803,182.486,184.453,185.957,187.143,188.103,147.334,168.611,177.165,181.782,184.671,186.649,188.089,189.183,190.044,190.738,165.081,179.688,185.168,188.040,189.807,191.004,191.869,192.523,193.035,193.446
440.000E-3,124.551,157.620,172.946,181.788,187.542,191.586,194.583,196.893,198.729,200.222,134.766,165.560,179.235,186.961,191.927,195.387,197.936,199.893,201.441,202.698,146.790,174.337,185.995,192.435,196.519,199.340,201.406,202.984,204.228,205.235,161.149,184.088,193.282,198.237,201.336,203.456,204.999,206.171,207.093,207.836,178.597,194.988,201.159,204.398,206.392,207.744,208.721,209.460,210.038,210.503
445.000E-3,139.112,174.273,190.324,199.516,205.471,209.643,212.729,215.104,216.988,218.519,149.630,182.299,196.629,204.677,209.832,213.416,216.052,218.072,219.670,220.965,161.854,191.095,203.362,210.111,214.381,217.326,219.479,221.123,222.419,223.467,176.236,200.777,210.571,215.839,219.130,221.380,223.017,224.260,225.237,226.025,193.403,211.485,218.305,221.886,224.092,225.588,226.669,227.487,228.127,228.642
450.000E-3,155.061,192.234,208.944,218.442,224.567,228.846,232.003,234.430,236.352,237.913,165.851,200.312,215.236,223.568,228.885,232.573,235.281,237.354,238.992,240.319,178.243,209.094,221.916,228.938,233.371,236.423,238.652,240.353,241.692,242.774,192.621,218.677,229.020,234.572,238.035,240.401,242.121,243.427,244.453,245.280,209.505,229.174,236.592,240.487,242.887,244.515,245.691,246.580,247.277,247.837
455.000E-3,172.438,211.499,228.786,238.536,244.797,249.157,252.368,254.831,256.780,258.361,183.459,219.590,235.033,243.602,249.051,252.821,255.585,257.698,259.366,260.716,195.976,228.321,241.629,248.886,253.454,256.594,258.885,260.631,262.005,263.115,210.313,237.770,248.604,254.402,258.014,260.480,262.271,263.630,264.697,265.557,226.900,248.031,255.991,260.168,262.741,264.485,265.745,266.699,267.445,268.045
460.000E-3,191.262,232.041,249.804,259.748,266.104,270.518,273.762,276.246,278.209,279.801,202.466,240.102,255.974,264.727,270.273,274.101,276.903,279.042,280.729,282.094,215.055,248.740,262.456,269.900,274.573,277.780,280.117,281.896,283.295,284.425,229.304,258.019,269.272,275.277,279.011,281.558,283.406,284.808,285.908,286.794,245.563,268.014,276.449,280.872,283.594,285.439,286.772,287.780,288.569,289.203
465.000E-3,211.528,253.806,271.931,282.002,288.411,292.848,296.103,298.591,300.556,302.147,222.856,261.792,277.991,286.868,292.473,296.333,299.153,301.304,302.998,304.367,235.458,270.293,284.325,291.904,296.650,299.900,302.266,304.065,305.480,306.621,249.562,279.362,290.953,297.119,300.947,303.554,305.444,306.878,308.002,308.907,265.454,289.057,297.896,302.523,305.370,307.297,308.690,309.742,310.566,311.228
470.000E-3,233.202,276.714,295.073,305.198,311.614,316.044,319.286,321.762,323.714,325.293,244.587,284.576,300.987,309.926,315.548,319.412,322.230,324.377,326.066,327.431,257.133,292.895,307.143,314.801,319.583,322.852,325.229,327.035,328.453,329.597,271.030,301.713,313.553,319.831,323.720,326.367,328.283,329.736,330.875,331.791,286.507,311.075,320.236,325.024,327.966,329.958,331.395,332.482,333.332,334.015
