VCE ,beta VBE 0.6 N 1 ,beta VBE 0.6 N 2 ,beta VBE 0.6 N 3 ,beta VBE 0.6 N 4 ,beta VBE 0.6 N 5 ,beta VBE 0.6 N 6 ,beta VBE 0.6 N 7 ,beta VBE 0.6 N 8 ,beta VBE 0.6 N 9 ,beta VBE 0.6 N 10 ,beta VBE 0.65 N 1 ,beta VBE 0.65 N 2 ,beta VBE 0.65 N 3 ,beta VBE 0.65 N 4 ,beta VBE 0.65 N 5 ,beta VBE 0.65 N 6 ,beta VBE 0.65 N 7 ,beta VBE 0.65 N 8 ,beta VBE 0.65 N 9 ,beta VBE 0.65 N 10 ,beta VBE 0.7 N 1 ,beta VBE 0.7 N 2 ,beta VBE 0.7 N 3 ,beta VBE 0.7 N 4 ,beta VBE 0.7 N 5 ,beta VBE 0.7 N 6 ,beta VBE 0.7 N 7 ,beta VBE 0.7 N 8 ,beta VBE 0.7 N 9 ,beta VBE 0.7 N 10 ,beta VBE 0.75 N 1 ,beta VBE 0.75 N 2 ,beta VBE 0.75 N 3 ,beta VBE 0.75 N 4 ,beta VBE 0.75 N 5 ,beta VBE 0.75 N 6 ,beta VBE 0.75 N 7 ,beta VBE 0.75 N 8 ,beta VBE 0.75 N 9 ,beta VBE 0.75 N 10 ,beta VBE 0.8 N 1 ,beta VBE 0.8 N 2 ,beta VBE 0.8 N 3 ,beta VBE 0.8 N 4 ,beta VBE 0.8 N 5 ,beta VBE 0.8 N 6 ,beta VBE 0.8 N 7 ,beta VBE 0.8 N 8 ,beta VBE 0.8 N 9 ,beta VBE 0.8 N 10 
490.000E-3,735.777,742.151,744.301,745.380,746.029,746.462,746.772,747.005,747.186,747.331,730.331,731.476,731.858,732.049,732.164,732.241,732.295,732.336,732.368,732.394,677.769,677.950,678.010,678.040,678.058,678.070,678.079,678.086,678.091,678.095,601.642,601.669,601.678,601.682,601.685,601.687,601.688,601.689,601.689,601.690,483.613,483.617,483.618,483.619,483.619,483.619,483.620,483.620,483.620,483.620
495.000E-3,735.871,742.201,744.335,745.407,746.052,746.482,746.790,747.021,747.201,747.344,730.350,731.488,731.868,732.058,732.172,732.248,732.302,732.343,732.375,732.400,677.778,677.958,678.018,678.048,678.066,678.077,678.086,678.092,678.097,678.101,601.661,601.688,601.697,601.701,601.704,601.706,601.707,601.708,601.709,601.709,483.771,483.774,483.775,483.776,483.776,483.777,483.777,483.777,483.777,483.777
500.000E-3,735.964,742.251,744.370,745.435,746.075,746.502,746.808,747.037,747.215,747.358,730.370,731.500,731.878,732.067,732.180,732.256,732.310,732.350,732.382,732.407,677.787,677.965,678.025,678.055,678.073,678.084,678.093,678.099,678.104,678.108,601.680,601.707,601.716,601.720,601.723,601.724,601.726,601.727,601.727,601.728,483.923,483.926,483.927,483.928,483.928,483.929,483.929,483.929,483.929,483.929
505.000E-3,736.058,742.301,744.405,745.462,746.097,746.522,746.825,747.053,747.230,747.372,730.389,731.512,731.887,732.075,732.188,732.263,732.317,732.357,732.388,732.413,677.795,677.973,678.032,678.062,678.080,678.091,678.100,678.106,678.111,678.115,601.699,601.725,601.734,601.738,601.741,601.743,601.744,601.745,601.746,601.746,484.070,484.073,484.074,484.075,484.075,484.075,484.076,484.076,484.076,484.076
510.000E-3,736.151,742.350,744.440,745.489,746.120,746.542,746.843,747.069,747.245,747.385,730.408,731.524,731.897,732.084,732.196,732.270,732.324,732.364,732.395,732.420,677.804,677.980,678.039,678.069,678.086,678.098,678.107,678.113,678.118,678.122,601.717,601.743,601.752,601.757,601.759,601.761,601.762,601.763,601.764,601.764,484.211,484.215,484.216,484.217,484.217,484.217,484.218,484.218,484.218,484.218
515.000E-3,736.245,742.400,744.475,745.517,746.143,746.561,746.860,747.085,747.259,747.399,730.427,731.536,731.907,732.092,732.204,732.278,732.331,732.371,732.401,732.426,677.812,677.988,678.046,678.076,678.093,678.105,678.113,678.120,678.125,678.129,601.735,601.761,601.770,601.774,601.777,601.779,601.780,601.781,601.782,601.782,484.349,484.352,484.353,484.354,484.354,484.355,484.355,484.355,484.355,484.355
520.000E-3,736.339,742.450,744.510,745.544,746.166,746.581,746.878,747.101,747.274,747.413,730.446,731.548,731.917,732.101,732.211,732.285,732.338,732.377,732.408,732.433,677.821,677.995,678.054,678.083,678.100,678.112,678.120,678.126,678.131,678.135,601.753,601.779,601.787,601.792,601.794,601.796,601.797,601.798,601.799,601.800,484.481,484.485,484.486,484.487,484.487,484.487,484.487,484.487,484.487,484.488
525.000E-3,736.432,742.500,744.545,745.571,746.189,746.601,746.895,747.117,747.289,747.426,730.465,731.561,731.926,732.109,732.219,732.292,732.345,732.384,732.415,732.439,677.829,678.003,678.061,678.090,678.107,678.119,678.127,678.133,678.138,678.142,601.770,601.796,601.805,601.809,601.811,601.813,601.814,601.815,601.816,601.817,484.609,484.613,484.614,484.615,484.615,484.615,484.615,484.616,484.616,484.616
530.000E-3,736.526,742.550,744.580,745.599,746.211,746.621,746.913,747.133,747.303,747.440,730.484,731.573,731.936,732.118,732.227,732.300,732.352,732.391,732.421,732.445,677.837,678.010,678.068,678.097,678.114,678.125,678.134,678.140,678.145,678.148,601.787,601.813,601.821,601.826,601.828,601.830,601.831,601.832,601.833,601.833,484.734,484.737,484.738,484.739,484.739,484.739,484.740,484.740,484.740,484.740
535.000E-3,736.620,742.599,744.614,745.626,746.234,746.640,746.931,747.148,747.318,747.454,730.504,731.585,731.946,732.126,732.235,732.307,732.359,732.398,732.428,732.452,677.846,678.018,678.075,678.103,678.121,678.132,678.140,678.146,678.151,678.155,601.804,601.830,601.838,601.842,601.845,601.847,601.848,601.849,601.849,601.850,484.854,484.857,484.858,484.859,484.859,484.859,484.860,484.860,484.860,484.860
540.000E-3,736.713,742.649,744.649,745.653,746.257,746.660,746.948,747.164,747.333,747.467,730.523,731.597,731.955,732.135,732.243,732.315,732.366,732.404,732.434,732.458,677.854,678.025,678.082,678.110,678.127,678.139,678.147,678.153,678.158,678.162,601.821,601.846,601.854,601.859,601.861,601.863,601.864,601.865,601.866,601.866,484.970,484.973,484.974,484.975,484.975,484.976,484.976,484.976,484.976,484.976
545.000E-3,736.807,742.699,744.684,745.681,746.280,746.680,746.966,747.180,747.347,747.481,730.542,731.609,731.965,732.144,732.251,732.322,732.373,732.411,732.441,732.465,677.862,678.032,678.089,678.117,678.134,678.145,678.153,678.160,678.164,678.168,601.837,601.862,601.870,601.875,601.877,601.879,601.880,601.881,601.882,601.882,485.082,485.086,485.087,485.087,485.088,485.088,485.088,485.088,485.088,485.088
550.000E-3,736.901,742.749,744.719,745.708,746.303,746.699,746.983,747.196,747.362,747.495,730.561,731.621,731.975,732.152,732.258,732.329,732.380,732.418,732.447,732.471,677.871,678.039,678.096,678.124,678.141,678.152,678.160,678.166,678.171,678.174,601.853,601.878,601.886,601.890,601.893,601.895,601.896,601.897,601.897,601.898,485.191,485.195,485.196,485.196,485.197,485.197,485.197,485.197,485.197,485.197
555.000E-3,736.995,742.799,744.754,745.735,746.325,746.719,747.001,747.212,747.377,747.508,730.580,731.633,731.985,732.161,732.266,732.337,732.387,732.425,732.454,732.478,677.879,678.047,678.103,678.131,678.147,678.159,678.167,678.173,678.177,678.181,601.868,601.893,601.902,601.906,601.908,601.910,601.911,601.912,601.913,601.913,485.297,485.300,485.301,485.302,485.302,485.302,485.303,485.303,485.303,485.303
560.000E-3,737.088,742.849,744.789,745.763,746.348,746.739,747.018,747.228,747.391,747.522,730.599,731.645,731.994,732.169,732.274,732.344,732.394,732.431,732.461,732.484,677.887,678.054,678.110,678.137,678.154,678.165,678.173,678.179,678.184,678.187,601.884,601.909,601.917,601.921,601.924,601.925,601.926,601.927,601.928,601.929,485.399,485.402,485.403,485.404,485.404,485.405,485.405,485.405,485.405,485.405
565.000E-3,737.182,742.898,744.824,745.790,746.371,746.759,747.036,747.244,747.406,747.536,730.618,731.657,732.004,732.178,732.282,732.351,732.401,732.438,732.467,732.490,677.895,678.061,678.116,678.144,678.161,678.172,678.180,678.185,678.190,678.194,601.899,601.924,601.932,601.936,601.939,601.940,601.941,601.942,601.943,601.944,485.498,485.501,485.503,485.503,485.503,485.504,485.504,485.504,485.504,485.504
570.000E-3,737.276,742.948,744.858,745.817,746.394,746.778,747.054,747.260,747.421,747.549,730.637,731.669,732.014,732.186,732.290,732.359,732.408,732.445,732.474,732.497,677.903,678.068,678.123,678.151,678.167,678.178,678.186,678.192,678.196,678.200,601.914,601.939,601.947,601.951,601.953,601.955,601.956,601.957,601.958,601.958,485.594,485.597,485.599,485.599,485.599,485.600,485.600,485.600,485.600,485.600
575.000E-3,737.370,742.998,744.893,745.845,746.416,746.798,747.071,747.276,747.435,747.563,730.656,731.681,732.023,732.195,732.297,732.366,732.415,732.452,732.480,732.503,677.912,678.075,678.130,678.157,678.174,678.185,678.192,678.198,678.203,678.206,601.929,601.953,601.961,601.966,601.968,601.970,601.971,601.972,601.972,601.973,485.687,485.691,485.692,485.692,485.693,485.693,485.693,485.693,485.693,485.693
580.000E-3,737.464,743.048,744.928,745.872,746.439,746.818,747.089,747.292,747.450,747.577,730.675,731.693,732.033,732.203,732.305,732.373,732.422,732.458,732.487,732.509,677.920,678.083,678.137,678.164,678.180,678.191,678.199,678.205,678.209,678.213,601.943,601.968,601.976,601.980,601.982,601.984,601.985,601.986,601.987,601.987,485.778,485.781,485.782,485.783,485.783,485.783,485.783,485.783,485.784,485.784
585.000E-3,737.558,743.098,744.963,745.899,746.462,746.838,747.106,747.308,747.465,747.590,730.694,731.705,732.043,732.212,732.313,732.381,732.429,732.465,732.493,732.516,677.928,678.090,678.144,678.171,678.187,678.198,678.205,678.211,678.216,678.219,601.958,601.982,601.990,601.994,601.996,601.998,601.999,602.000,602.001,602.001,485.865,485.869,485.870,485.870,485.871,485.871,485.871,485.871,485.871,485.871
590.000E-3,737.652,743.148,744.998,745.926,746.485,746.857,747.124,747.324,747.479,747.604,730.714,731.717,732.052,732.220,732.321,732.388,732.436,732.472,732.500,732.522,677.936,678.097,678.150,678.177,678.193,678.204,678.212,678.217,678.222,678.225,601.972,601.996,602.004,602.008,602.010,602.012,602.013,602.014,602.015,602.015,485.950,485.954,485.955,485.955,485.956,485.956,485.956,485.956,485.956,485.956
595.000E-3,737.745,743.197,745.033,745.954,746.508,746.877,747.141,747.340,747.494,747.617,730.733,731.729,732.062,732.229,732.329,732.395,732.443,732.479,732.506,732.529,677.944,678.104,678.157,678.184,678.200,678.210,678.218,678.224,678.228,678.232,601.986,602.010,602.018,602.022,602.024,602.026,602.027,602.028,602.028,602.029,486.033,486.036,486.037,486.038,486.038,486.038,486.039,486.039,486.039,486.039
600.000E-3,737.839,743.247,745.068,745.981,746.530,746.897,747.159,747.356,747.509,747.631,730.752,731.741,732.072,732.237,732.336,732.403,732.450,732.485,732.513,732.535,677.952,678.111,678.164,678.190,678.206,678.217,678.224,678.230,678.234,678.238,602.000,602.023,602.031,602.035,602.038,602.039,602.040,602.041,602.042,602.042,486.113,486.116,486.118,486.118,486.118,486.119,486.119,486.119,486.119,486.119
605.000E-3,737.933,743.297,745.103,746.008,746.553,746.917,747.176,747.372,747.523,747.645,730.771,731.753,732.081,732.246,732.344,732.410,732.457,732.492,732.519,732.541,677.960,678.118,678.170,678.197,678.213,678.223,678.231,678.236,678.241,678.244,602.013,602.037,602.045,602.049,602.051,602.053,602.054,602.055,602.055,602.056,486.191,486.194,486.195,486.196,486.196,486.197,486.197,486.197,486.197,486.197
610.000E-3,738.027,743.347,745.137,746.036,746.576,746.936,747.194,747.387,747.538,747.658,730.790,731.765,732.091,732.254,732.352,732.417,732.464,732.499,732.526,732.548,677.968,678.125,678.177,678.203,678.219,678.229,678.237,678.242,678.247,678.250,602.027,602.050,602.058,602.062,602.064,602.066,602.067,602.068,602.068,602.069,486.267,486.270,486.271,486.272,486.272,486.272,486.272,486.272,486.273,486.273
615.000E-3,738.122,743.397,745.172,746.063,746.599,746.956,747.212,747.403,747.553,747.672,730.809,731.777,732.101,732.263,732.360,732.424,732.471,732.505,732.532,732.554,677.976,678.132,678.184,678.210,678.225,678.236,678.243,678.249,678.253,678.256,602.040,602.063,602.071,602.075,602.077,602.079,602.080,602.081,602.081,602.082,486.340,486.344,486.345,486.345,486.345,486.346,486.346,486.346,486.346,486.346
620.000E-3,738.216,743.447,745.207,746.090,746.621,746.976,747.229,747.419,747.567,747.686,730.828,731.789,732.110,732.271,732.367,732.432,732.478,732.512,732.539,732.560,677.984,678.139,678.190,678.216,678.232,678.242,678.249,678.255,678.259,678.263,602.053,602.076,602.084,602.088,602.090,602.092,602.093,602.094,602.094,602.095,486.412,486.415,486.416,486.417,486.417,486.417,486.417,486.417,486.418,486.418
625.000E-3,738.310,743.497,745.242,746.118,746.644,746.996,747.247,747.435,747.582,747.699,730.847,731.801,732.120,732.280,732.375,732.439,732.485,732.519,732.545,732.567,677.992,678.146,678.197,678.223,678.238,678.248,678.256,678.261,678.265,678.269,602.066,602.089,602.097,602.100,602.103,602.104,602.105,602.106,602.107,602.107,486.481,486.485,486.486,486.486,486.486,486.487,486.487,486.487,486.487,486.487
630.000E-3,738.404,743.547,745.277,746.145,746.667,747.015,747.264,747.451,747.597,747.713,730.866,731.813,732.130,732.288,732.383,732.446,732.492,732.526,732.552,732.573,678.000,678.153,678.204,678.229,678.244,678.255,678.262,678.267,678.272,678.275,602.078,602.101,602.109,602.113,602.115,602.117,602.118,602.119,602.119,602.120,486.549,486.552,486.553,486.554,486.554,486.554,486.554,486.554,486.555,486.555
635.000E-3,738.498,743.597,745.312,746.172,746.690,747.035,747.282,747.467,747.611,747.727,730.885,731.825,732.139,732.297,732.391,732.454,732.499,732.532,732.558,732.579,678.008,678.159,678.210,678.235,678.251,678.261,678.268,678.273,678.278,678.281,602.091,602.114,602.122,602.125,602.128,602.129,602.130,602.131,602.132,602.132,486.615,486.618,486.619,486.619,486.620,486.620,486.620,486.620,486.620,486.620
640.000E-3,738.592,743.647,745.347,746.200,746.713,747.055,747.299,747.483,747.626,747.740,730.904,731.837,732.149,732.305,732.399,732.461,732.506,732.539,732.565,732.586,678.015,678.166,678.217,678.242,678.257,678.267,678.274,678.280,678.284,678.287,602.103,602.126,602.134,602.138,602.140,602.141,602.142,602.143,602.144,602.144,486.679,486.682,486.683,486.683,486.684,486.684,486.684,486.684,486.684,486.684
645.000E-3,738.686,743.696,745.382,746.227,746.735,747.075,747.317,747.499,747.641,747.754,730.923,731.849,732.159,732.313,732.406,732.468,732.513,732.546,732.572,732.592,678.023,678.173,678.223,678.248,678.263,678.273,678.280,678.286,678.290,678.293,602.116,602.138,602.146,602.150,602.152,602.153,602.154,602.155,602.156,602.156,486.741,486.744,486.745,486.746,486.746,486.746,486.746,486.746,486.747,486.747
650.000E-3,738.780,743.746,745.417,746.254,746.758,747.094,747.335,747.515,747.655,747.767,730.942,731.861,732.168,732.322,732.414,732.476,732.519,732.552,732.578,732.598,678.031,678.180,678.230,678.255,678.269,678.279,678.286,678.292,678.296,678.299,602.128,602.150,602.158,602.162,602.164,602.165,602.166,602.167,602.168,602.168,486.802,486.805,486.806,486.806,486.807,486.807,486.807,486.807,486.807,486.807
655.000E-3,738.875,743.796,745.451,746.282,746.781,747.114,747.352,747.531,747.670,747.781,730.961,731.873,732.178,732.330,732.422,732.483,732.526,732.559,732.585,732.605,678.039,678.187,678.236,678.261,678.276,678.286,678.293,678.298,678.302,678.305,602.140,602.162,602.170,602.173,602.176,602.177,602.178,602.179,602.180,602.180,486.861,486.864,486.865,486.865,486.866,486.866,486.866,486.866,486.866,486.866
660.000E-3,738.969,743.846,745.486,746.309,746.804,747.134,747.370,747.547,747.685,747.795,730.980,731.885,732.188,732.339,732.430,732.490,732.533,732.566,732.591,732.611,678.047,678.194,678.243,678.267,678.282,678.292,678.299,678.304,678.308,678.311,602.152,602.174,602.181,602.185,602.187,602.189,602.190,602.191,602.191,602.192,486.918,486.921,486.922,486.923,486.923,486.923,486.924,486.924,486.924,486.924
665.000E-3,739.063,743.896,745.521,746.337,746.826,747.154,747.387,747.563,747.699,747.808,730.999,731.897,732.197,732.347,732.437,732.497,732.540,732.572,732.598,732.618,678.055,678.201,678.249,678.274,678.288,678.298,678.305,678.310,678.314,678.317,602.163,602.185,602.193,602.197,602.199,602.200,602.201,602.202,602.203,602.203,486.974,486.977,486.978,486.979,486.979,486.979,486.980,486.980,486.980,486.980
670.000E-3,739.157,743.946,745.556,746.364,746.849,747.173,747.405,747.579,747.714,747.822,731.018,731.909,732.207,732.356,732.445,732.505,732.547,732.579,732.604,732.624,678.062,678.207,678.256,678.280,678.294,678.304,678.311,678.316,678.320,678.323,602.175,602.197,602.204,602.208,602.210,602.212,602.213,602.213,602.214,602.215,487.029,487.032,487.033,487.033,487.034,487.034,487.034,487.034,487.034,487.034
675.000E-3,739.252,743.996,745.591,746.391,746.872,747.193,747.422,747.595,747.728,747.836,731.038,731.921,732.217,732.364,732.453,732.512,732.554,732.586,732.610,732.630,678.070,678.214,678.262,678.286,678.300,678.310,678.317,678.322,678.326,678.329,602.186,602.208,602.216,602.219,602.221,602.223,602.224,602.225,602.225,602.226,487.082,487.085,487.086,487.087,487.087,487.087,487.087,487.087,487.088,487.088
680.000E-3,739.346,744.046,745.626,746.419,746.895,747.213,747.440,747.610,747.743,747.849,731.057,731.933,732.226,732.373,732.461,732.519,732.561,732.593,732.617,732.637,678.078,678.221,678.269,678.292,678.307,678.316,678.323,678.328,678.332,678.335,602.198,602.219,602.227,602.230,602.232,602.234,602.235,602.236,602.236,602.237,487.134,487.137,487.138,487.139,487.139,487.139,487.139,487.139,487.139,487.140
685.000E-3,739.440,744.096,745.661,746.446,746.918,747.232,747.458,747.626,747.758,747.863,731.076,731.945,732.236,732.381,732.468,732.527,732.568,732.599,732.623,732.643,678.086,678.228,678.275,678.299,678.313,678.322,678.329,678.334,678.338,678.341,602.209,602.231,602.238,602.241,602.244,602.245,602.246,602.247,602.247,602.248,487.185,487.188,487.189,487.189,487.190,487.190,487.190,487.190,487.190,487.190
690.000E-3,739.535,744.146,745.696,746.473,746.940,747.252,747.475,747.642,747.772,747.877,731.095,731.957,732.246,732.390,732.476,732.534,732.575,732.606,732.630,732.649,678.093,678.234,678.281,678.305,678.319,678.328,678.335,678.340,678.344,678.347,602.220,602.242,602.249,602.252,602.254,602.256,602.257,602.258,602.258,602.259,487.234,487.237,487.238,487.239,487.239,487.239,487.239,487.239,487.239,487.240
695.000E-3,739.629,744.196,745.731,746.501,746.963,747.272,747.493,747.658,747.787,747.890,731.114,731.969,732.255,732.398,732.484,732.541,732.582,732.613,732.636,732.656,678.101,678.241,678.288,678.311,678.325,678.334,678.341,678.346,678.350,678.353,602.231,602.252,602.259,602.263,602.265,602.267,602.268,602.268,602.269,602.269,487.282,487.285,487.286,487.287,487.287,487.287,487.287,487.288,487.288,487.288
700.000E-3,739.724,744.246,745.766,746.528,746.986,747.292,747.510,747.674,747.802,747.904,731.133,731.981,732.265,732.407,732.492,732.548,732.589,732.619,732.643,732.662,678.109,678.248,678.294,678.317,678.331,678.340,678.347,678.352,678.356,678.359,602.242,602.263,602.270,602.274,602.276,602.277,602.278,602.279,602.280,602.280,487.329,487.332,487.333,487.334,487.334,487.334,487.334,487.335,487.335,487.335
705.000E-3,739.818,744.296,745.801,746.555,747.009,747.311,747.528,747.690,747.816,747.918,731.152,731.993,732.274,732.415,732.499,732.556,732.596,732.626,732.649,732.668,678.116,678.254,678.300,678.323,678.337,678.346,678.353,678.358,678.362,678.365,602.253,602.274,602.281,602.284,602.286,602.288,602.289,602.290,602.290,602.291,487.375,487.378,487.379,487.380,487.380,487.380,487.380,487.380,487.381,487.381
710.000E-3,739.912,744.346,745.836,746.583,747.032,747.331,747.545,747.706,747.831,747.931,731.171,732.005,732.284,732.423,732.507,732.563,732.603,732.633,732.656,732.675,678.124,678.261,678.307,678.330,678.343,678.353,678.359,678.364,678.368,678.371,602.263,602.284,602.291,602.295,602.297,602.298,602.299,602.300,602.301,602.301,487.420,487.423,487.424,487.425,487.425,487.425,487.425,487.425,487.425,487.425
715.000E-3,740.007,744.396,745.871,746.610,747.054,747.351,747.563,747.722,747.846,747.945,731.190,732.017,732.294,732.432,732.515,732.570,732.610,732.639,732.662,732.681,678.132,678.268,678.313,678.336,678.349,678.359,678.365,678.370,678.374,678.377,602.274,602.295,602.302,602.305,602.307,602.309,602.310,602.310,602.311,602.311,487.464,487.467,487.468,487.468,487.469,487.469,487.469,487.469,487.469,487.469
720.000E-3,740.101,744.446,745.905,746.637,747.077,747.371,747.581,747.738,747.860,747.958,731.209,732.029,732.303,732.440,732.523,732.577,732.617,732.646,732.669,732.687,678.139,678.274,678.320,678.342,678.356,678.365,678.371,678.376,678.380,678.383,602.284,602.305,602.312,602.315,602.317,602.319,602.320,602.321,602.321,602.322,487.507,487.510,487.511,487.511,487.511,487.512,487.512,487.512,487.512,487.512
725.000E-3,740.196,744.496,745.940,746.665,747.100,747.390,747.598,747.754,747.875,747.972,731.228,732.041,732.313,732.449,732.530,732.585,732.624,732.653,732.675,732.693,678.147,678.281,678.326,678.348,678.362,678.371,678.377,678.382,678.385,678.388,602.295,602.315,602.322,602.326,602.328,602.329,602.330,602.331,602.331,602.332,487.549,487.551,487.552,487.553,487.553,487.553,487.554,487.554,487.554,487.554
730.000E-3,740.291,744.546,745.975,746.692,747.123,747.410,747.616,747.770,747.890,747.986,731.247,732.053,732.323,732.457,732.538,732.592,732.630,732.659,732.682,732.700,678.155,678.288,678.332,678.354,678.368,678.376,678.383,678.388,678.391,678.394,602.305,602.325,602.332,602.336,602.338,602.339,602.340,602.341,602.341,602.342,487.589,487.592,487.593,487.594,487.594,487.594,487.594,487.594,487.595,487.595
735.000E-3,740.385,744.596,746.010,746.719,747.146,747.430,747.633,747.786,747.904,747.999,731.266,732.065,732.332,732.466,732.546,732.599,732.637,732.666,732.688,732.706,678.162,678.294,678.338,678.360,678.374,678.382,678.389,678.393,678.397,678.400,602.315,602.336,602.342,602.346,602.348,602.349,602.350,602.351,602.351,602.352,487.629,487.632,487.633,487.634,487.634,487.634,487.634,487.634,487.635,487.635
740.000E-3,740.480,744.646,746.045,746.747,747.168,747.450,747.651,747.802,747.919,748.013,731.285,732.077,732.342,732.474,732.554,732.607,732.644,732.673,732.695,732.712,678.170,678.301,678.345,678.367,678.380,678.388,678.395,678.399,678.403,678.406,602.325,602.346,602.352,602.356,602.358,602.359,602.360,602.361,602.361,602.362,487.669,487.671,487.672,487.673,487.673,487.673,487.673,487.673,487.674,487.674
