time (s),/Q5/C b 8 M 0.25  (A),/Q5/C b 8 M 0.5  (A),/Q5/C b 8 M 1  (A),/Q5/C b 8 M 2  (A),/Q5/C b 8 M 4  (A),/Q5/C b 12 M 0.25  (A),/Q5/C b 12 M 0.5  (A),/Q5/C b 12 M 1  (A),/Q5/C b 12 M 2  (A),/Q5/C b 12 M 4  (A),/Q5/C b 16 M 0.25  (A),/Q5/C b 16 M 0.5  (A),/Q5/C b 16 M 1  (A),/Q5/C b 16 M 2  (A),/Q5/C b 16 M 4  (A),/Q5/C b 20 M 0.25  (A),/Q5/C b 20 M 0.5  (A),/Q5/C b 20 M 1  (A),/Q5/C b 20 M 2  (A),/Q5/C b 20 M 4  (A),/Q5/C b 24 M 0.25  (A),/Q5/C b 24 M 0.5  (A),/Q5/C b 24 M 1  (A),/Q5/C b 24 M 2  (A),/Q5/C b 24 M 4  (A),/Q5/C b 28 M 0.25  (A),/Q5/C b 28 M 0.5  (A),/Q5/C b 28 M 1  (A),/Q5/C b 28 M 2  (A),/Q5/C b 28 M 4  (A),/Q5/C b 32 M 0.25  (A),/Q5/C b 32 M 0.5  (A),/Q5/C b 32 M 1  (A),/Q5/C b 32 M 2  (A),/Q5/C b 32 M 4  (A),/Q5/C b 36 M 0.25  (A),/Q5/C b 36 M 0.5  (A),/Q5/C b 36 M 1  (A),/Q5/C b 36 M 2  (A),/Q5/C b 36 M 4  (A),/Q5/C b 40 M 0.25  (A),/Q5/C b 40 M 0.5  (A),/Q5/C b 40 M 1  (A),/Q5/C b 40 M 2  (A),/Q5/C b 40 M 4  (A),/Q6/C b 8 M 0.25  (A),/Q6/C b 8 M 0.5  (A),/Q6/C b 8 M 1  (A),/Q6/C b 8 M 2  (A),/Q6/C b 8 M 4  (A),/Q6/C b 12 M 0.25  (A),/Q6/C b 12 M 0.5  (A),/Q6/C b 12 M 1  (A),/Q6/C b 12 M 2  (A),/Q6/C b 12 M 4  (A),/Q6/C b 16 M 0.25  (A),/Q6/C b 16 M 0.5  (A),/Q6/C b 16 M 1  (A),/Q6/C b 16 M 2  (A),/Q6/C b 16 M 4  (A),/Q6/C b 20 M 0.25  (A),/Q6/C b 20 M 0.5  (A),/Q6/C b 20 M 1  (A),/Q6/C b 20 M 2  (A),/Q6/C b 20 M 4  (A),/Q6/C b 24 M 0.25  (A),/Q6/C b 24 M 0.5  (A),/Q6/C b 24 M 1  (A),/Q6/C b 24 M 2  (A),/Q6/C b 24 M 4  (A),/Q6/C b 28 M 0.25  (A),/Q6/C b 28 M 0.5  (A),/Q6/C b 28 M 1  (A),/Q6/C b 28 M 2  (A),/Q6/C b 28 M 4  (A),/Q6/C b 32 M 0.25  (A),/Q6/C b 32 M 0.5  (A),/Q6/C b 32 M 1  (A),/Q6/C b 32 M 2  (A),/Q6/C b 32 M 4  (A),/Q6/C b 36 M 0.25  (A),/Q6/C b 36 M 0.5  (A),/Q6/C b 36 M 1  (A),/Q6/C b 36 M 2  (A),/Q6/C b 36 M 4  (A),/Q6/C b 40 M 0.25  (A),/Q6/C b 40 M 0.5  (A),/Q6/C b 40 M 1  (A),/Q6/C b 40 M 2  (A),/Q6/C b 40 M 4  (A),/Q3/C b 8 M 0.25  (A),/Q3/C b 8 M 0.5  (A),/Q3/C b 8 M 1  (A),/Q3/C b 8 M 2  (A),/Q3/C b 8 M 4  (A),/Q3/C b 12 M 0.25  (A),/Q3/C b 12 M 0.5  (A),/Q3/C b 12 M 1  (A),/Q3/C b 12 M 2  (A),/Q3/C b 12 M 4  (A),/Q3/C b 16 M 0.25  (A),/Q3/C b 16 M 0.5  (A),/Q3/C b 16 M 1  (A),/Q3/C b 16 M 2  (A),/Q3/C b 16 M 4  (A),/Q3/C b 20 M 0.25  (A),/Q3/C b 20 M 0.5  (A),/Q3/C b 20 M 1  (A),/Q3/C b 20 M 2  (A),/Q3/C b 20 M 4  (A),/Q3/C b 24 M 0.25  (A),/Q3/C b 24 M 0.5  (A),/Q3/C b 24 M 1  (A),/Q3/C b 24 M 2  (A),/Q3/C b 24 M 4  (A),/Q3/C b 28 M 0.25  (A),/Q3/C b 28 M 0.5  (A),/Q3/C b 28 M 1  (A),/Q3/C b 28 M 2  (A),/Q3/C b 28 M 4  (A),/Q3/C b 32 M 0.25  (A),/Q3/C b 32 M 0.5  (A),/Q3/C b 32 M 1  (A),/Q3/C b 32 M 2  (A),/Q3/C b 32 M 4  (A),/Q3/C b 36 M 0.25  (A),/Q3/C b 36 M 0.5  (A),/Q3/C b 36 M 1  (A),/Q3/C b 36 M 2  (A),/Q3/C b 36 M 4  (A),/Q3/C b 40 M 0.25  (A),/Q3/C b 40 M 0.5  (A),/Q3/C b 40 M 1  (A),/Q3/C b 40 M 2  (A),/Q3/C b 40 M 4  (A)
0.00000,-3.47564E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.730E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.315E-6,-243.730E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.731E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.731E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.731E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.732E-6,-3.47589E-3,-1.84106E-3,-950.492E-6,-483.306E-6,-243.732E-6,-3.47590E-3,-1.84106E-3,-950.493E-6,-483.306E-6,-243.732E-6,-3.47591E-3,-1.84106E-3,-950.494E-6,-483.306E-6,-243.732E-6,-3.68255E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.594E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-519.887E-6,-262.729E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.822E-6,-3.69540E-3,-1.96813E-3,-1.02018E-3,-520.221E-6,-262.893E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-262.950E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-262.998E-6,-3.69939E-3,-1.96950E-3,-1.02081E-3,-520.523E-6,-263.039E-6,-3.70011E-3,-1.96982E-3,-1.02097E-3,-520.597E-6,-263.075E-6,-3.70072E-3,-1.97010E-3,-1.02110E-3,-520.662E-6,-263.107E-6,881.321E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04159E-3,934.268E-6,1.02404E-3,1.01881E-3,1.03520E-3,1.04239E-3,958.631E-6,997.699E-6,1.01782E-3,1.03556E-3,1.04292E-3,966.601E-6,987.075E-6,1.01784E-3,1.03586E-3,1.04331E-3,959.725E-6,984.723E-6,1.01799E-3,1.03610E-3,1.04362E-3,944.950E-6,984.062E-6,1.01814E-3,1.03630E-3,1.04389E-3,934.625E-6,983.864E-6,1.01834E-3,1.03648E-3,1.04411E-3,929.855E-6,983.940E-6,1.01845E-3,1.03663E-3,1.04431E-3,927.712E-6,983.945E-6,1.01856E-3,1.03677E-3,1.04449E-3
1.00000E-12,-3.47569E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.734E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.381E-6,-243.740E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.747E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.752E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.755E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.758E-6,-3.47589E-3,-1.84106E-3,-950.501E-6,-483.310E-6,-243.760E-6,-3.47590E-3,-1.84106E-3,-950.505E-6,-483.310E-6,-243.762E-6,-3.47591E-3,-1.84106E-3,-950.510E-6,-483.310E-6,-243.763E-6,-3.68261E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.598E-6,-3.68864E-3,-1.96609E-3,-1.01941E-3,-519.962E-6,-262.741E-6,-3.69268E-3,-1.96737E-3,-1.01985E-3,-520.073E-6,-262.845E-6,-3.69540E-3,-1.96812E-3,-1.02017E-3,-520.221E-6,-262.925E-6,-3.69723E-3,-1.96867E-3,-1.02043E-3,-520.339E-6,-262.988E-6,-3.69848E-3,-1.96912E-3,-1.02063E-3,-520.438E-6,-263.042E-6,-3.69939E-3,-1.96949E-3,-1.02082E-3,-520.528E-6,-263.088E-6,-3.70011E-3,-1.96982E-3,-1.02099E-3,-520.602E-6,-263.128E-6,-3.70072E-3,-1.97010E-3,-1.02113E-3,-520.669E-6,-263.163E-6,881.336E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04159E-3,934.281E-6,1.02404E-3,1.01902E-3,1.03522E-3,1.04239E-3,958.631E-6,997.699E-6,1.01796E-3,1.03556E-3,1.04291E-3,966.601E-6,987.284E-6,1.01794E-3,1.03586E-3,1.04330E-3,959.725E-6,984.894E-6,1.01806E-3,1.03610E-3,1.04362E-3,944.950E-6,984.201E-6,1.01820E-3,1.03630E-3,1.04388E-3,934.625E-6,983.979E-6,1.01834E-3,1.03648E-3,1.04411E-3,929.855E-6,983.940E-6,1.01846E-3,1.03663E-3,1.04430E-3,927.713E-6,983.945E-6,1.01859E-3,1.03678E-3,1.04449E-3
3.00000E-12,-3.47575E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.737E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.447E-6,-243.749E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.763E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.772E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.778E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.783E-6,-3.47589E-3,-1.84106E-3,-950.509E-6,-483.313E-6,-243.787E-6,-3.47590E-3,-1.84106E-3,-950.517E-6,-483.313E-6,-243.790E-6,-3.47591E-3,-1.84106E-3,-950.525E-6,-483.313E-6,-243.792E-6,-3.68265E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.599E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-519.996E-6,-262.745E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.853E-6,-3.69540E-3,-1.96812E-3,-1.02018E-3,-520.221E-6,-262.936E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.001E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.056E-6,-3.69939E-3,-1.96950E-3,-1.02083E-3,-520.530E-6,-263.104E-6,-3.70011E-3,-1.96982E-3,-1.02099E-3,-520.604E-6,-263.145E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.671E-6,-263.182E-6,881.340E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04159E-3,934.284E-6,1.02404E-3,1.01905E-3,1.03523E-3,1.04239E-3,958.631E-6,997.699E-6,1.01799E-3,1.03556E-3,1.04292E-3,966.601E-6,987.323E-6,1.01796E-3,1.03586E-3,1.04331E-3,959.725E-6,984.926E-6,1.01807E-3,1.03610E-3,1.04362E-3,944.950E-6,984.227E-6,1.01821E-3,1.03630E-3,1.04388E-3,934.625E-6,984.001E-6,1.01834E-3,1.03648E-3,1.04411E-3,929.855E-6,983.940E-6,1.01846E-3,1.03663E-3,1.04431E-3,927.713E-6,983.945E-6,1.01860E-3,1.03678E-3,1.04449E-3
7.00000E-12,-3.47581E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.741E-6,-3.47570E-3,-1.84103E-3,-950.487E-6,-483.519E-6,-243.758E-6,-3.47577E-3,-1.84104E-3,-950.488E-6,-483.305E-6,-243.780E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.793E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.802E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.809E-6,-3.47589E-3,-1.84106E-3,-950.518E-6,-483.316E-6,-243.814E-6,-3.47590E-3,-1.84106E-3,-950.529E-6,-483.317E-6,-243.819E-6,-3.47591E-3,-1.84107E-3,-950.541E-6,-483.317E-6,-243.822E-6,-3.68267E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.600E-6,-3.68864E-3,-1.96609E-3,-1.01943E-3,-520.023E-6,-262.748E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.858E-6,-3.69540E-3,-1.96813E-3,-1.02018E-3,-520.221E-6,-262.942E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.009E-6,-3.69848E-3,-1.96913E-3,-1.02064E-3,-520.438E-6,-263.065E-6,-3.69939E-3,-1.96950E-3,-1.02083E-3,-520.531E-6,-263.113E-6,-3.70011E-3,-1.96982E-3,-1.02100E-3,-520.605E-6,-263.155E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.673E-6,-263.192E-6,881.335E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04159E-3,934.282E-6,1.02404E-3,1.01905E-3,1.03527E-3,1.04240E-3,958.631E-6,997.699E-6,1.01799E-3,1.03556E-3,1.04292E-3,966.601E-6,987.320E-6,1.01796E-3,1.03586E-3,1.04332E-3,959.725E-6,984.925E-6,1.01808E-3,1.03610E-3,1.04363E-3,944.950E-6,984.227E-6,1.01821E-3,1.03630E-3,1.04389E-3,934.625E-6,984.002E-6,1.01834E-3,1.03648E-3,1.04412E-3,929.855E-6,983.940E-6,1.01847E-3,1.03663E-3,1.04432E-3,927.713E-6,983.946E-6,1.01860E-3,1.03678E-3,1.04450E-3
15.0000E-12,-3.47582E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.742E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.534E-6,-243.760E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.782E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.797E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.806E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.813E-6,-3.47589E-3,-1.84106E-3,-950.520E-6,-483.317E-6,-243.819E-6,-3.47590E-3,-1.84106E-3,-950.531E-6,-483.317E-6,-243.823E-6,-3.47591E-3,-1.84107E-3,-950.543E-6,-483.318E-6,-243.826E-6,-3.68271E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.601E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-520.039E-6,-262.748E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.858E-6,-3.69540E-3,-1.96813E-3,-1.02018E-3,-520.221E-6,-262.941E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.007E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.063E-6,-3.69939E-3,-1.96950E-3,-1.02084E-3,-520.531E-6,-263.110E-6,-3.70011E-3,-1.96982E-3,-1.02100E-3,-520.605E-6,-263.151E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.672E-6,-263.188E-6,881.341E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04160E-3,934.283E-6,1.02404E-3,1.01905E-3,1.03537E-3,1.04241E-3,958.631E-6,997.699E-6,1.01798E-3,1.03556E-3,1.04295E-3,966.601E-6,987.318E-6,1.01796E-3,1.03586E-3,1.04335E-3,959.725E-6,984.923E-6,1.01807E-3,1.03610E-3,1.04366E-3,944.950E-6,984.225E-6,1.01821E-3,1.03630E-3,1.04392E-3,934.625E-6,983.999E-6,1.01835E-3,1.03648E-3,1.04415E-3,929.855E-6,983.942E-6,1.01848E-3,1.03664E-3,1.04435E-3,927.712E-6,983.947E-6,1.01860E-3,1.03678E-3,1.04453E-3
31.0000E-12,-3.47582E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.742E-6,-3.47570E-3,-1.84103E-3,-950.487E-6,-483.534E-6,-243.760E-6,-3.47577E-3,-1.84104E-3,-950.488E-6,-483.305E-6,-243.783E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.797E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.807E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.814E-6,-3.47589E-3,-1.84106E-3,-950.520E-6,-483.317E-6,-243.819E-6,-3.47590E-3,-1.84106E-3,-950.531E-6,-483.317E-6,-243.823E-6,-3.47591E-3,-1.84107E-3,-950.543E-6,-483.318E-6,-243.827E-6,-3.68271E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.602E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-520.081E-6,-262.752E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.864E-6,-3.69540E-3,-1.96813E-3,-1.02018E-3,-520.221E-6,-262.948E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.014E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.070E-6,-3.69939E-3,-1.96950E-3,-1.02084E-3,-520.532E-6,-263.117E-6,-3.70011E-3,-1.96982E-3,-1.02101E-3,-520.607E-6,-263.158E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.673E-6,-263.195E-6,881.337E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04161E-3,934.280E-6,1.02404E-3,1.01905E-3,1.03549E-3,1.04244E-3,958.631E-6,997.699E-6,1.01798E-3,1.03556E-3,1.04299E-3,966.601E-6,987.317E-6,1.01796E-3,1.03586E-3,1.04339E-3,959.725E-6,984.923E-6,1.01808E-3,1.03610E-3,1.04371E-3,944.950E-6,984.226E-6,1.01821E-3,1.03630E-3,1.04398E-3,934.625E-6,984.000E-6,1.01836E-3,1.03649E-3,1.04420E-3,929.855E-6,983.942E-6,1.01849E-3,1.03664E-3,1.04440E-3,927.712E-6,983.948E-6,1.01861E-3,1.03679E-3,1.04458E-3
51.0000E-12,-3.47582E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.742E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.533E-6,-243.760E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.783E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.797E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.807E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.813E-6,-3.47589E-3,-1.84106E-3,-950.520E-6,-483.317E-6,-243.819E-6,-3.47590E-3,-1.84106E-3,-950.531E-6,-483.317E-6,-243.823E-6,-3.47591E-3,-1.84107E-3,-950.542E-6,-483.317E-6,-243.826E-6,-3.68271E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.604E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-520.101E-6,-262.754E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.867E-6,-3.69540E-3,-1.96812E-3,-1.02018E-3,-520.221E-6,-262.951E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.017E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.071E-6,-3.69939E-3,-1.96950E-3,-1.02084E-3,-520.533E-6,-263.118E-6,-3.70011E-3,-1.96982E-3,-1.02101E-3,-520.607E-6,-263.159E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.674E-6,-263.195E-6,881.340E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04162E-3,934.280E-6,1.02404E-3,1.01905E-3,1.03559E-3,1.04246E-3,958.631E-6,997.699E-6,1.01798E-3,1.03556E-3,1.04303E-3,966.601E-6,987.318E-6,1.01796E-3,1.03586E-3,1.04344E-3,959.725E-6,984.922E-6,1.01807E-3,1.03610E-3,1.04377E-3,944.950E-6,984.224E-6,1.01821E-3,1.03630E-3,1.04403E-3,934.625E-6,983.999E-6,1.01837E-3,1.03649E-3,1.04426E-3,929.855E-6,983.943E-6,1.01849E-3,1.03665E-3,1.04446E-3,927.712E-6,983.949E-6,1.01861E-3,1.03679E-3,1.04463E-3
71.0000E-12,-3.47582E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.742E-6,-3.47570E-3,-1.84103E-3,-950.487E-6,-483.533E-6,-243.760E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.783E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.797E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.807E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.814E-6,-3.47589E-3,-1.84106E-3,-950.520E-6,-483.317E-6,-243.819E-6,-3.47590E-3,-1.84106E-3,-950.531E-6,-483.317E-6,-243.823E-6,-3.47591E-3,-1.84107E-3,-950.543E-6,-483.318E-6,-243.827E-6,-3.68271E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.605E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-520.116E-6,-262.757E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.871E-6,-3.69540E-3,-1.96813E-3,-1.02018E-3,-520.221E-6,-262.956E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.022E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.076E-6,-3.69939E-3,-1.96950E-3,-1.02084E-3,-520.534E-6,-263.123E-6,-3.70011E-3,-1.96982E-3,-1.02101E-3,-520.608E-6,-263.164E-6,-3.70072E-3,-1.97010E-3,-1.02116E-3,-520.674E-6,-263.200E-6,881.338E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04163E-3,934.279E-6,1.02404E-3,1.01905E-3,1.03563E-3,1.04248E-3,958.631E-6,997.699E-6,1.01798E-3,1.03556E-3,1.04306E-3,966.601E-6,987.317E-6,1.01796E-3,1.03586E-3,1.04348E-3,959.725E-6,984.923E-6,1.01807E-3,1.03610E-3,1.04381E-3,944.950E-6,984.225E-6,1.01821E-3,1.03630E-3,1.04407E-3,934.625E-6,984.000E-6,1.01837E-3,1.03650E-3,1.04430E-3,929.855E-6,983.942E-6,1.01849E-3,1.03665E-3,1.04450E-3,927.712E-6,983.949E-6,1.01861E-3,1.03679E-3,1.04468E-3
91.0000E-12,-3.47582E-3,-1.84102E-3,-950.485E-6,-483.305E-6,-243.742E-6,-3.47570E-3,-1.84103E-3,-950.486E-6,-483.530E-6,-243.760E-6,-3.47577E-3,-1.84104E-3,-950.487E-6,-483.305E-6,-243.782E-6,-3.47582E-3,-1.84105E-3,-950.488E-6,-483.306E-6,-243.797E-6,-3.47585E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.806E-6,-3.47587E-3,-1.84105E-3,-950.489E-6,-483.306E-6,-243.813E-6,-3.47589E-3,-1.84106E-3,-950.520E-6,-483.316E-6,-243.818E-6,-3.47590E-3,-1.84106E-3,-950.530E-6,-483.317E-6,-243.822E-6,-3.47591E-3,-1.84107E-3,-950.542E-6,-483.317E-6,-243.826E-6,-3.68271E-3,-1.96347E-3,-1.01872E-3,-519.583E-6,-262.605E-6,-3.68864E-3,-1.96609E-3,-1.01942E-3,-520.118E-6,-262.758E-6,-3.69268E-3,-1.96737E-3,-1.01986E-3,-520.073E-6,-262.872E-6,-3.69540E-3,-1.96812E-3,-1.02018E-3,-520.221E-6,-262.957E-6,-3.69723E-3,-1.96868E-3,-1.02043E-3,-520.339E-6,-263.023E-6,-3.69848E-3,-1.96913E-3,-1.02063E-3,-520.438E-6,-263.077E-6,-3.69939E-3,-1.96950E-3,-1.02084E-3,-520.534E-6,-263.123E-6,-3.70011E-3,-1.96982E-3,-1.02101E-3,-520.608E-6,-263.164E-6,-3.70072E-3,-1.97010E-3,-1.02115E-3,-520.674E-6,-263.200E-6,881.340E-6,1.01308E-3,1.03465E-3,1.03488E-3,1.04163E-3,934.280E-6,1.02404E-3,1.01905E-3,1.03565E-3,1.04249E-3,958.631E-6,997.699E-6,1.01798E-3,1.03556E-3,1.04308E-3,966.601E-6,987.318E-6,1.01796E-3,1.03586E-3,1.04351E-3,959.725E-6,984.922E-6,1.01807E-3,1.03610E-3,1.04384E-3,944.950E-6,984.225E-6,1.01821E-3,1.03630E-3,1.04411E-3,934.625E-6,983.999E-6,1.01837E-3,1.03650E-3,1.04434E-3,929.855E-6,983.942E-6,1.01849E-3,1.03665E-3,1.04454E-3,927.712E-6,983.949E-6,1.01861E-3,1.03679E-3,1.04472E-3
